id;nombre_cientifico;nombre_comun;descripcion;imagen;estado_conservacion;altura_max;familia;origen
1;Pantalones;Cantabria Configuración;de Asturias;Directo Guapo Chipre;Bricolaje Hormigon;22606;Guapo Madera;interfaz Director Intercambiable
2;Granito;Asimilado Agente Amarillo;Venezuela;de modular Seguro;añadido;20052;Guillermo;Cataluña Especialista Granito
3;Gabón;de Prolongación;Rústico Ingeniero;Especialista;sistemática Toallas contingencia;26445;Dinánmico Morado Futuro;Zambia Ladrillo Datos
4;Gallegos Indonesia;Monitorizado En Blanco;Tácticas Amigable;División función Rojo;Adelante Rioja;11433;Gris;Rubén
5;Portugal;monitorizar;Gris;Gerente;Acero;24960;Madera Violeta;Ruanda Ladrillo
6;Desarrollador;Gris acceso Ladrillo;Toallas;Amarillo Ladrillo;Marca;24907;Pantalones Fernández;Directo
7;motivadora Toallas;Mesa Senior Cuesta;Respuesta Oficial uniforme;acceso Equilibrado Coordinador;Manzanares Mesa;30317;Usabilidad Negro;Cliente Blanco Guantes
8;metodologías;Ghana Amarillo Diseñador;Algodón Increible estructura;Rojo Expandido Agente;Web Morado;19741;Programa;Jardines Ladrillo Cliente
9;bidireccional Granito;Soluciones Salud Belice;Datos;Juguetería;Gris División Homero;30584;Zapatos Negro;Web Madera
10;Hogar hibrida;Producto;motivadora;Salud;Violeta intangible ejecutiva;26912;Sabroso Vasco;Automatizado Togo Ingeniero
