id;altura;latitud;longitud;circunferencia;fecha_plantacion;fecha_ultima_poda;descripcion;imagen;estado;tipo_frente;interferencia;altura_calle;exposicion_sol
1;30067;Ejecutivo Mobilidad Calidad;Corporativo;18943;2023-09-23T03:13:40;2023-09-23T18:03:50;Factores;Metal;Sopa Silla;Algodón;Amarillo Comunicaciones asimétrica;22018;Vía Finlandia Seguro
2;19855;Interno Director;Amarillo;27684;2023-09-23T18:36:42;2023-09-23T11:06:20;Decoración Guadalupe;Hormigon Multi;Relacciones Refinado Blanco;Amarillo Coche;Mobilidad Somalia asíncrona;15994;Reactivo Bolivia Bricolaje
3;25870;Macedonia;Granito Cine;20699;2023-09-23T10:04:25;2023-09-23T12:09:41;Jefe Mobilidad Productor;Humano Extremadura León;Sancho;Operaciones Rojo mano;conjunto Ergonómico;12966;Senior Gómez explícita
4;13546;Kazajistan Agente;Plástico de Director;778;2023-09-23T15:10:09;2023-09-22T21:54:09;Jefe Gerente Gris;Ruanda Navarra Grupo;Plástico Diseñador;nueva Violeta;Hormigon Marca Raton;24105;Amarillo Regional Puerta
5;5734;Rojo;radical Fantástico Blanco;14230;2023-09-23T19:22:12;2023-09-23T00:14:46;Sabroso Dinánmico;Director Rústico;Aplicaciones Andalucía;Nepal;Negro;3266;Paradigma Futuro
6;7891;Gambia homogénea por;Azul habilidad Parafarmacia;26130;2023-09-23T19:06:53;2023-09-23T03:11:53;codificar Guantes Bebes;Galicia;Pescado Marketing;Hormigon;de Cliente;22298;Datos Madera homogénea
7;29410;Amarillo mano Pakistan;Humano Azul;12112;2023-09-23T08:14:39;2023-09-23T09:17:27;Planificador Global;Verde La;Clonado Algodón Asistente;bidireccional terciaria Marca;Senior Luz;4164;Artesanal Metal Amarillo
8;22761;Pollo Cliente;Bacon asimétrica Verde;18179;2023-09-23T08:18:27;2023-09-22T23:35:46;Madera;secundaria Violeta;Directo;modelo Ergonómico;Sorprendente;29640;Central Plástico Azul
9;9766;Asistente complejidad Glorieta;desafío Parafarmacia benficios;10995;2023-09-23T06:10:07;2023-09-23T01:17:59;Poblado Persistente;Seguro Distrito Ergonómico;Investigación Genérico;Tácticas;Ensalada Comunidad;300;Granito
10;21562;Oficial Bebes Blanco;estrategia Supervisor holística;6991;2023-09-23T11:32:23;2023-09-22T22:23:52;de;Inverso;Cataluña Mascotas Andalucía;Extremadura Oficial;Ladrillo Algodón;20715;Cataluña Negro Proactivo
